r,phi,dphi,V,dV
3.811152e+000,7.116026e-007,-4.749667e-003,5.374669e-027,2.861335e-020
3.811166e+000,6.435606e-007,-4.749613e-003,3.595503e-027,2.116531e-020
3.811179e+000,5.820247e-007,-4.749565e-003,2.405290e-027,1.565599e-020
3.811191e+000,5.263728e-007,-4.749521e-003,1.609072e-027,1.158074e-020
3.811201e+000,4.760421e-007,-4.749481e-003,1.076424e-027,8.566281e-021
3.811211e+000,4.305240e-007,-4.749446e-003,7.200971e-028,6.336482e-021
3.811219e+000,3.893582e-007,-4.749413e-003,4.817247e-028,4.687099e-021
3.811227e+000,3.521286e-007,-4.749384e-003,3.222603e-028,3.467049e-021
3.811234e+000,3.184588e-007,-4.749357e-003,2.155830e-028,2.564578e-021
3.811241e+000,2.880084e-007,-4.749333e-003,1.442190e-028,1.897019e-021
3.811247e+000,2.604697e-007,-4.749312e-003,9.647843e-029,1.403226e-021
3.811252e+000,2.355641e-007,-4.749292e-003,6.454135e-029,1.037967e-021
3.811257e+000,2.130399e-007,-4.749274e-003,4.317634e-029,7.677844e-022
3.811261e+000,1.926695e-007,-4.749258e-003,2.888376e-029,5.679305e-022
3.811265e+000,1.742469e-007,-4.749244e-003,1.932242e-029,4.200984e-022
3.811268e+000,1.575857e-007,-4.749231e-003,1.292615e-029,3.107470e-022
3.811271e+000,1.425177e-007,-4.749219e-003,8.647232e-030,2.298596e-022
3.811274e+000,1.288905e-007,-4.749208e-003,5.784754e-030,1.700273e-022
3.811277e+000,1.165662e-007,-4.749198e-003,3.869837e-030,1.257692e-022
3.811279e+000,1.054204e-007,-4.749190e-003,2.588812e-030,9.303156e-023
3.811281e+000,9.534033e-008,-4.749182e-003,1.731842e-030,6.881548e-023
3.811283e+000,8.622409e-008,-4.749175e-003,1.158554e-030,5.090284e-023
3.811285e+000,7.797952e-008,-4.749168e-003,7.750396e-031,3.765285e-023
3.811287e+000,7.052328e-008,-4.749162e-003,5.184796e-031,2.785183e-023
3.811288e+000,6.377999e-008,-4.749157e-003,3.468482e-031,2.060201e-023
3.811289e+000,5.768148e-008,-4.749152e-003,2.320317e-031,1.523931e-023
3.811290e+000,5.216610e-008,-4.749148e-003,1.552226e-031,1.127253e-023
3.811291e+000,4.717808e-008,-4.749144e-003,1.038396e-031,8.338291e-024
3.811292e+000,4.266701e-008,-4.749140e-003,6.946574e-032,6.167837e-024
3.811293e+000,3.858728e-008,-4.749137e-003,4.647062e-032,4.562352e-024
3.811294e+000,3.489765e-008,-4.749134e-003,3.108753e-032,3.374773e-024
