phi,lambda_eff,V
4869345862.575577,0.006433854046417295,9.042608012993192e+035
5381459437.370514,0.006512651666855369,1.36552024565902e+036
5947432466.985638,0.006591345908424297,2.06173189561799e+036
6572929399.731441,0.006669934984853231,3.112414854622726e+036
7264210419.147622,0.006748417165389321,4.697811567580334e+036
8028194098.024074,0.00682679077346741,7.089703243565325e+036
8872526641.802774,0.006905054185413849,1.069784615299658e+037
9805658414.371828,0.006983205829183513,1.613993914152016e+037
10836928512.14753,0.007061244183129005,2.434703457814211e+037
11976658232.89026,0.007139167774801182,3.672232954094032e+037
13236254374.72161,0.0072169751797801,5.538034281429753e+037
14628323399.19391,0.007294665020535523,8.35071331255651e+037
16166797600.99464,0.007372235965316149,1.259027571839054e+038
17867074547.03445,0.007449686727066787,1.897980808021819e+038
19746171180.47213,0.007527016062372673,2.860845747483994e+038
21822894132.0013,0.007604222770430185,4.311657184067751e+038
24118027942.93158,0.007681305692043216,6.497439340681457e+038
26654543083.86385,0.007758263708644512,9.7901538092901e+038
29457825850.88076,0.007835095741341277,1.474983214077598e+039
32555932440.13049,0.007911800749984372,2.221958301286825e+039
35979869743.66782,0.0079883777322605,3.346855391565994e+039
39763905676.85163,0.008064825722806703,5.04070330140082e+039
43945912143.15964,0.008141143792346598,7.591006559744234e+039
48567744068.92756,0.008217331046847754,1.143042866026415e+040
53675658301.51984,0.008293386626699643,1.721002252818317e+040
59320776563.40552,0.008369309705911595,2.590937630516725e+040
65559597095.53933,0.008445099491330273,3.900226983337364e+040
72454560110.74687,0.008520755221876073,5.870579780075635e+040
80074672716.36142,0.008596276167798001,8.835498493461384e+040
88496199560.54829,0.008671661629946521,1.329660641979599e+041
97803426114.53702,0.008746910939063891,2.000833673629984e+041
108089502229.9468,0.008822023455091546,3.010525319861812e+041
119457374413.8102,0.008896998566494053,4.529344867432866e+041
132020816151.8172,0.008971835689599217,6.813824961386712e+041
145905566591.6003,0.009046534267953947,1.024966537355869e+042
161250588982.3867,0.009121093771695406,1.541672649473582e+042
178209461465.9035,0.009195513696937113,2.318670494056467e+042
196951914138.0396,0.009269793565169566,3.486991552868295e+042
217665527764.6937,0.00934393292267505,5.243585302696778e+042
240557611153.1272,0.009417931339956219,7.884459707610005e+042
265857275968.1866,0.00949178841117815,1.185447320579304e+043
293817729758.8521,0.009565503753623486,1.782213996900828e+043
324718810144.4935,0.00963907700716035,2.6792006897006e+043
358869785523.8223,0.009712507833722711,4.027346266080882e+043
396612450336.974,0.009785795916802873,6.053430160615394e+043
438324545859.1464,0.009858940960955799,9.098157288670782e+043
484423540762.2448,0.009931942691314949,1.367335761145594e+044
535370809281.6667,0.01000480085311936,2.054788888759119e+044
591676248804.7229,0.0100775152112517,3.087663865751928e+044
653903383095.0719,0.01015008554978698,4.639423825741681e+044
722675002227.9536,0.01022251167155169,6.970593445996015e+044
798679395682.5892,0.01029479339769311,1.047243242389227e+045
882677240974.6318,0.01036693056725853,1.573250628452439e+045
975509216772.4149,0.0104389230367841,2.36331282891923e+045
1078104416691.627,0.01051077067989312,3.549914314705719e+045
1191489647976.498,0.01058247338690359,5.331977244759233e+045
1316799708131.818,0.01065403106444461,8.008162069754984e+045
1455288742357.789,0.01072544363508165,1.20268516148059e+046
1608342795456.714,0.01079671103695027,1.806117325526271e+046
1777493683835.253,0.01086783322339823,2.712159575415373e+046
1964434326437.874,0.01093881016263571,4.072491172313108e+046
2171035688048.665,0.01100964183739343,6.11478300361529e+046
2399365504535.742,0.01108032824458859,9.180752462754056e+046
2651708977446.809,0.01115086939499833,1.378326714262769e+047
2930591645074.331,0.01122126531294049,2.069202850603382e+047
3238804658891.625,0.01129151603596173,3.106213376433839e+047
3579432718334.947,0.01136162161453256,4.662696463005982e+047
3955884943512.25,0.01143158211174923,6.998757657190308e+047
4371928994823.071,0.01150139760304244,1.050468479635921e+048
4831728780970.164,0.01157106817589241,1.57660773680106e+048
5339886132757.333,0.01164059392955051,2.366154687944924e+048
5901486859758.85,0.01170997497476704,3.550927076086236e+048
6522151650811.068,0.01177921143352511,5.328681914041703e+048
7208092327755.479,0.01184830343878046,7.996087540945747e+048
7966174015439.566,0.01191725113420714,1.19981767717684e+049
8803983850193.727,0.01198605467394885,1.800251626402629e+049
9729906914441.789,0.01205471422237574,2.701044065718808e+049
10753210157424.24,0.01212322995384678,4.052386744013179e+049
11884135141940.94,0.01219160205247727,6.079545515397677e+049
13134000545353.96,0.01225983071191166,9.120373035975189e+049
14515315440714.91,0.01232791613510127,1.368155915836419e+050
16041904491772.54,0.01239585853408708,2.05229754392984e+050
17729046314854.14,0.01246365812978727,3.078414067476018e+050
19593626392393.06,0.0125313151517895,4.617383555606063e+050
21654306068512.3,0.01259882983814776,6.925438911110613e+050
23931709318028.85,0.01266620243518378,1.038678901476491e+051
26448629158125.51,0.0127334331972928,1.557751550384198e+051
29230255768527.95,0.01280052238675362,2.336136227046178e+051
32304428603290.08,0.01286747027354294,3.503333137864162e+051
35701915017407.36,0.01293427713515369,5.253493730475331e+051
39456718196846.9,0.01300094325641748,7.877686828520584e+051
43606417473861.46,0.01306746892933091,1.181226326991193e+052
48192544433577.5,0.01313385445288577,1.77113487083704e+052
53260998576058.37,0.01320010013290296,2.655549816572928e+052
58862506693928.27,0.01326620628187009,3.981454583365747e+052
65053130563162.75,0.01333217321878268,5.969167426642644e+052
71894828028185.66,0.01339800126898885,8.948919886103974e+052
79456073096800.56,0.01346369076403751,1.341567492856312e+053
87812541251076.97,0.01352924204152977,2.01112774545883e+053
